Carnegie Mellon University,
Tsinghua University,
Peking University,
Cornell University,
Stanford University,
Chinese Academy of Sciences,
Univ. of Illinois at Urbana-Champaign,
Technion,
Nanyang Technological University,
Massachusetts Institute of Technology,
National University of Singapore,
University of Washington,
HKUST,
University of Maryland - College Park,
University of California - Los Angeles,
University of Michigan,
Rutgers University,
Nanjing University,
University of Massachusetts Amherst,
University of Toronto,
Zhejiang University,
Columbia University,
Fudan University,
Georgia Institute of Technology,
University of Pennsylvania,
University of California - Berkeley,
University of California - San Diego,
University of Texas at Austin,
Northeastern University,
Max Planck Society,
University of Edinburgh,
University of Tokyo,
University of Illinois at Chicago,
Shanghai Jiao Tong University,
University of Alberta,
University of Waterloo,
New York University,
University of Pittsburgh,
EPFL,
KAIST,
University of Southern California,
Johns Hopkins University,
Hebrew University of Jerusalem,
ETH Zurich,
University of Oxford,
Chinese University of Hong Kong,
Duke University,
Simon Fraser University,
University of British Columbia,
Harvard University,
Oregon State University,
Purdue University,
Seoul National University,
University of California - Irvine,
TU Darmstadt,
University of California - Santa Barbara,
Pennsylvania State University,
Singapore Management University,
University of Technology Sydney,
Stony Brook University,
University of Melbourne,
Beihang University,
Harbin Institute of Technology,
University of Montreal,
University of Sydney,
Boston University,
University College London,
University of Virginia,
University of Central Florida,
University of Texas at Dallas,
Kyoto University,
Texas A&M University,
University of Wisconsin - Madison,
Ohio State University,
University of Rochester,
University of North Carolina,
USTC,
Australian National University,
Arizona State University,
Princeton University,
Tel Aviv University,
Imperial College London,
National Taiwan University,
University at Buffalo,
NWPU,
University of California - Santa Cruz,
University of Cambridge,
Northwestern University,
University of Adelaide,
University of Colorado Boulder,
Ben-Gurion University of the Negev,
Bar-Ilan University,
Brown University,
UESTC,
University of Minnesota,
University of Copenhagen,
Renmin University of China,
TTI Chicago,
Virginia Tech,
University of Utah
