Carnegie Mellon University,
Cornell University,
Stanford University,
Univ. of Illinois at Urbana-Champaign,
Massachusetts Institute of Technology,
University of Washington,
University of Maryland - College Park,
University of California - Los Angeles,
University of Michigan,
Rutgers University,
University of Massachusetts Amherst,
Columbia University,
Georgia Institute of Technology,
University of Pennsylvania,
University of California - Berkeley,
University of California - San Diego,
University of Texas at Austin,
Northeastern University,
University of Illinois at Chicago,
New York University,
University of Pittsburgh,
University of Southern California,
Johns Hopkins University,
Duke University,
Harvard University,
Oregon State University,
Purdue University,
University of California - Irvine,
University of California - Santa Barbara,
Pennsylvania State University,
Stony Brook University,
Boston University,
University of Virginia,
University of Central Florida,
University of Texas at Dallas,
Texas A&M University,
University of Wisconsin - Madison,
Ohio State University,
University of Rochester,
University of North Carolina,
Arizona State University,
Princeton University,
University at Buffalo,
University of California - Santa Cruz,
Northwestern University,
University of Colorado Boulder,
Brown University,
University of Minnesota,
TTI Chicago,
Virginia Tech
